Name,SMILES,WHIM.13,kierHallSmarts.49,kierHallSmarts.48,BCUT.4,BCUT.5,BCUT.2,BCUT.3,BCUT.0,BCUT.1,kierHallSmarts.41,kierHallSmarts.40,kierHallSmarts.43,kierHallSmarts.42,kierHallSmarts.45,kierHallSmarts.44,kierHallSmarts.47,kierHallSmarts.46,mde.9,gravitationalIndex.0,kierHallSmarts.38,kierHallSmarts.39,vabc,WHIM.12,kierHallSmarts.34,kierHallSmarts.35,kierHallSmarts.36,kierHallSmarts.37,kierHallSmarts.30,kierHallSmarts.31,kierHallSmarts.32,kierHallSmarts.33,gravitationalIndex.5,chiPathCluster.1,chiPathCluster.0,chiPathCluster.3,gravitationalIndex.4,chiPathCluster.5,chiPathCluster.4,mde.3,vAdjMa,chiPath.12,chiPath.13,chiPath.10,chiPath.11,chiPath.14,chiPath.15,kierHallSmarts.58,kierHallSmarts.59,kierHallSmarts.52,kierHallSmarts.53,kierHallSmarts.50,kierHallSmarts.51,kierHallSmarts.56,kierHallSmarts.57,kierHallSmarts.54,kierHallSmarts.55,momentOfInertia.4,momentOfInertia.0,autoCorrelationPolarizability.4,autoCorrelationPolarizability.3,autoCorrelationPolarizability.2,autoCorrelationPolarizability.1,autoCorrelationPolarizability.0,kierValues.1,momentOfInertia.6,kierValues.0,chiChain.1,mde.18,chiCluster.7,autoCorrelationMass.0,autoCorrelationMass.1,autoCorrelationMass.2,autoCorrelationMass.3,autoCorrelationMass.4,mde.16,mde.15,xlogP,hBondacceptors,momentOfInertia.2,weight,hybratio,momentOfInertia.3,chiChain.2,ALOGP.2,chiChain.5,ALOGP.0,ALOGP.1,chiCluster.4,kierHallSmarts.69,kierHallSmarts.68,kierHallSmarts.67,kierHallSmarts.66,kierHallSmarts.65,kierHallSmarts.64,kierHallSmarts.63,kierHallSmarts.62,kierHallSmarts.61,kierHallSmarts.60,CPSA.9,CPSA.8,chiCluster.5,petitjeanNumber,WHIM.16,CPSA.1,CPSA.0,CPSA.3,CPSA.2,CPSA.5,CPSA.4,CPSA.7,CPSA.6,WHIM.14,gravitationalIndex.3,CPSA.24,CPSA.25,autoCorrelationCharge.1,WHIM.11,weightedPath.3,autoCorrelationCharge.2,autoCorrelationCharge.3,autoCorrelationCharge.0,WHIM.10,chiChain.7,autoCorrelationCharge.4,chiPath.8,CPSA.28,mde.8,WHIM.7,gravitationalIndex.2,mde.12,chiPath.0,chiPath.1,chiPath.2,basicGroupCount,chiPath.4,mde.11,chiPath.6,chiPath.7,chiCluster.6,mde.1,aromaticBondsCount,chiPath.9,mde.17,chiChain.6,chiCluster.3,weightedPath.2,petitjeanShapeIndex.0,wienerNumbers.1,wienerNumbers.0,gravitationalIndex.1,chiCluster.0,weightedPath.4,mde.2,mde.14,lengthOverBreadth.1,lengthOverBreadth.0,mde.0,mde.7,mde.6,mannholdLogP,mde.5,chiChain.0,zagrebIndex,mde.4,kierHallSmarts.70,kierHallSmarts.71,kierHallSmarts.72,kierHallSmarts.73,kierHallSmarts.74,kierHallSmarts.75,kierHallSmarts.76,kierHallSmarts.77,kierHallSmarts.78,petitjeanShapeIndex.1,chiCluster.1,rotatableBondsCount,chiPath.5,gravitationalIndex.7,aromaticAtomsCount,fmf,largestPiSystem,carbonTypes.8,chiChain.3,mde.13,carbonTypes.1,carbonTypes.0,carbonTypes.3,carbonTypes.2,carbonTypes.5,carbonTypes.4,gravitationalIndex.6,carbonTypes.6,bondCount,chiPathCluster.2,hBondDonors,longestAliphaticChain,chiPath.3,chiChain.8,CPSA.20,CPSA.21,CPSA.22,CPSA.23,kierHallSmarts.8,kierHallSmarts.9,CPSA.26,CPSA.27,kierHallSmarts.4,kierHallSmarts.5,kierHallSmarts.6,kierHallSmarts.7,kierHallSmarts.0,kierHallSmarts.1,kierHallSmarts.2,kierHallSmarts.3,ip,chiChain.4,mde.10,atomCount,NilaComplexity,bpol,momentOfInertia.1,kierHallSmarts.16,kierHallSmarts.17,kierHallSmarts.14,kierHallSmarts.15,kierHallSmarts.12,kierHallSmarts.13,kierHallSmarts.10,kierHallSmarts.11,weightedPath.0,kierHallSmarts.18,kierHallSmarts.19,weightedPath.1,CPSA.19,CPSA.18,CPSA.15,CPSA.14,CPSA.17,CPSA.16,CPSA.11,CPSA.10,CPSA.13,CPSA.12,tpsa,WHIM.6,WHIM.5,WHIM.4,WHIM.3,WHIM.2,WHIM.1,WHIM.0,WHIM.15,WHIM.9,WHIM.8,carbonTypes.7,kierValues.2,momentOfInertia.5,lipinskifailures,kierHallSmarts.29,kierHallSmarts.28,eccentricConnectivityIndex,kierHallSmarts.23,kierHallSmarts.22,kierHallSmarts.21,kierHallSmarts.20,kierHallSmarts.27,kierHallSmarts.26,kierHallSmarts.25,kierHallSmarts.24,gravitationalIndex.8,acidicGroupCount,chiChain.9,chiCluster.2,apol,largestChain,TARGET
ACETAMINOPHEN,CC(=O)NC1=CC=C(O)C=C1,nan,0,0,4.199143073,8.437877162,-0.360718014,0.200970001,11.85,15.99591968,0,0,0,0,0,0,0,0,0,nan,0,0,nan,nan,1,0,0,0,0,0,0,0,nan,1.384470827,1.050476816,0.274989044,nan,0.291120778,0.309483748,0,4.459431619,0.748026599,0.454100828,2.228060242,1.187673315,0.153990151,0.074007235,0,0,0,0,0,0,0,0,0,0,nan,nan,326.0907113,515.8174732,652.61195,534.7239935,495.8999375,4.132653061,nan,9.090909091,0,0,0,12.90891837,11.99654782,16.04828333,12.3286398,9.162457865,0,0,0.314,3,nan,141.9929032,0.125,nan,0,44.7549,0,-0.2314,0.05354596,0.259931005,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0.428571429,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.096140052,nan,4.909027129,0.005670185,-0.00871163,0.216284415,nan,0,-0.021083366,6.164862963,nan,0,nan,nan,0,8.267584714,5.18154055,4.755446768,0,2.231484176,0,0.788991132,0.532656998,0,0.894427191,6,3.249098148,0,0,0,7.845919989,0.75,11,166,nan,0.90104757,2.93689286,1.144714243,0,nan,nan,0,0.965489385,0,2.01,6.294690381,0,50,3.301927249,0,0,0,0,0,0,0,0,0,nan,0,2,1.745558472,nan,6,0.545454545,10,0,0.083333333,0,0,0,6,1,1,0,nan,0,11,1.685480696,0,2,2.940166328,0.027777778,nan,nan,nan,nan,0,0,nan,nan,0,0,0,0,0,0,0,0,nan,0.142258898,0.142857143,11,11.03,3.236,nan,2,0,0,1,0,0,0,0,21.39259691,0,0,1.944781537,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.265306122,nan,0,0,0,115,0,0,0,0,0,0,0,0,nan,0,0.026311489,0,16.784,4,1
ACYCLOVIR,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,nan,0,0,3.815639012,9.41936891,-0.393453192,0.300446569,11.98848812,15.99692832,0,0,0,0,0,0,0,0,0,nan,0,0,nan,nan,1,1,0,0,0,1,0,0,nan,3.776028615,2.171079256,0.585737921,nan,0.794410721,0.767651121,0,5,1.306785381,0.777435625,3.099721515,1.974778091,0.411880511,0.206536191,0,0,0,0,0,0,0,0,0,0,nan,nan,914.5445268,1170.185949,1302.735804,943.5993431,812.0451275,5.557655955,nan,12.4567474,0,0,0,20.12330861,19.99018724,27.7340103,27.03807848,24.14827225,1.144714243,0.25,-0.336,8,nan,214.0001139,0.375,nan,0.096225045,51.5213,0,-2.3401,5.47606801,0.313283761,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0.444444444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.463916428,nan,7.949670046,0.160891789,-0.123156686,0.695497379,nan,0.028867513,0.187179172,8.381371845,nan,0,nan,nan,0,11.5436056,7.719545353,6.714781182,3,4.643260105,0.471404521,2.461049864,1.505141299,0.04552798,0,5,4.613430052,1.190550789,0,0,23.12769546,0.8,22,453,nan,0.963209589,15.17802541,0,1.10520945,nan,nan,0,3.532775529,0,1.46,3.96834881,0,80,2.40685195,0,0,0,0,0,0,0,0,0,nan,0,4,3.369338778,nan,5,0.5625,11,0,0.247193875,0,0,0,1,2,2,0,nan,0,17,5.06963041,0,2,5.38429151,0.063255353,nan,nan,nan,nan,0,0,nan,nan,0,0,0,0,0,0,0,0,nan,0.491385277,0.111111111,16,49.08,10.432,nan,2,0,0,2,0,0,0,0,32.17818015,0,0,2.011136259,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,56.48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.831111111,nan,0,0,1,239,0,0,0,0,1,0,0,0,nan,0,0.081801192,0.219821982,21.986,5,0
ALBUTEROL,CC(C)(C)NCC(O)C1=CC(CO)=C(O)C=C1,nan,0,0,4.506584791,9.477006528,-0.391226448,0.115790893,11.85,15.99692598,0,0,0,0,0,0,0,0,0,nan,0,0,nan,nan,0,0,0,0,0,0,0,0,nan,3.271346951,2.79600348,1.217548336,nan,1.210352646,1.202956448,3,5.087462841,1.46005837,0.999377167,5.192962219,2.484410766,0.522112351,0.244164251,0,0,0,0,0,0,0,0,0,0,nan,nan,1005.865257,1259.946864,1407.268655,1071.476131,964.824138,6.25,nan,15.05882353,0,0,0,19.68338741,18.3286398,26.32518762,25.04428737,21.09938476,0,0,0.469,4,nan,217.9878179,0.538461538,nan,0,70.8731,0,0.1145,0.01311025,1.604123933,0,0,0,0,0,0,0,0,0,0,nan,nan,0.25,0.444444444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.107393136,nan,7.53468242,-0.064794694,0.016839439,0.298204925,nan,0,0.088934908,10.56525543,nan,0.844213625,nan,nan,0,13.05204176,7.83151712,7.795363206,0,3.433944787,0,1.718617517,0.870686501,0.056781345,2.628868742,6,5.690097531,0,0,0,10.41847043,0.8,22,560,nan,2.365398026,2.883788013,2.074324708,0,nan,nan,1.5,2.941682753,1.082744897,2.45,10.3251248,0,82,3.619399318,0,0,0,0,0,0,0,0,0,nan,0.353553391,5,2.806424438,nan,6,0.352941176,7,0,0.068041382,0,0,0,4,0,5,2,nan,1,17,4.180438971,0,3,5.081830612,0.024056261,nan,nan,nan,nan,0,0,nan,nan,0,0,0,0,0,0,0,0,nan,0.155437614,0.572357121,17,17.04,4.194,nan,3,0,0,0,0,0,0,0,32.85754174,1,0,1.932796573,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,5.0176,nan,0,0,0,238,0,0,0,0,0,0,0,0,nan,0,0.041657521,0.23570226,26.386,8,0
ALENDRONATE,NCCCC(O)(P(O)(O)=O)P(O)(O)=O,nan,0,0,2.999526979,6.964017531,-0.367479245,0.421092547,11.999,30.97702172,0,0,0,0,2,0,0,0,0,nan,0,0,nan,nan,2,0,0,0,0,0,0,0,nan,7.962849474,5.964150429,1.908917904,nan,1.364804284,1.973054893,0,4.807354922,1.237756748,0.491753915,3.683200785,2.424293641,0.178465442,0,0,0,0,0,0,0,0,0,0,0,nan,nan,358.6486051,517.631874,510.9086614,382.0885566,348.612992,4.244897959,nan,14,0,0,0.140286594,31.08209115,31.26746259,41.81623618,47.90682866,31.61872634,0,0,-4.298,8,nan,235.9149996,1,nan,0,42.843,0,-2.4572,6.03783184,0.961122323,0,0,0,0,0,0,0,0,0,0,nan,nan,0.126022132,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.213372213,nan,16.57027304,-0.105110064,-0.235511664,0.711862071,nan,0,0.259231679,7.593547282,nan,0,nan,nan,0,11.62132034,6.060660172,6.935660172,0,2.405330086,0,0.530330086,0,0.413802945,0,0,4.405161609,0,0,1.310660172,25.38269413,1,23,281,nan,3.066941738,2.409311867,0,0,nan,nan,0,0,1.650963624,0.8,0,0,68,2.381101578,0,0,0,0,0,0,0,0,0,nan,0.588388348,5,0.883883476,nan,0,0,3,0,0,0,0,0,0,0,2,0,nan,2,13,8.681980515,0,4,4.340990258,0,nan,nan,nan,nan,0,0,nan,nan,0,0,0,0,0,0,0,0,nan,0,6.948077524,14,13.1,22.326,nan,0,0,0,0,0,0,0,0,25.62641256,1,0,1.83045804,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,53.76,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.994328923,nan,0,0,0,127,0,0,0,0,0,0,0,0,nan,0,0,2.340990258,21.014,14,0
ALLOPURINOL,OC1=NC=NC2=C1C=NN2,nan,0,0,4.893182433,8.174884636,-0.344132116,0.201833324,11.98859224,15.99491793,0,0,0,0,0,0,0,0,0,nan,0,0,nan,nan,0,0,0,0,0,0,0,0,nan,2.343625286,1.440177475,0.365419436,nan,0.321895076,0.415164503,0,4.321928095,0.752214548,0.355770595,1.829559962,1.226977887,0.147582262,0.058550822,0,0,0,0,0,0,0,0,0,0,nan,nan,245.1153648,495.7309903,691.5519795,511.3007135,440.8437666,2.56,nan,6.694214876,0,0,0,12.21439024,12.68916388,17.60260578,14.51952976,9.546527327,2.498049533,0,-0.452,5,nan,132.0072106,0,nan,0.11785113,33.8177,0,-0.9351,0.87441201,0.178070483,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.168023577,nan,2.545324805,0.133086514,-0.214794139,0.282946399,nan,0.032274861,0.108258003,4.94355492,nan,0,nan,nan,0,6.974691495,4.877010098,4.26302547,0,3.089158958,0,1.166121214,0.628003494,0.030571187,0,10,2.707698995,0,0,0,14.67648787,0.333333333,12,105,nan,0.538451691,12.13116307,0,0,nan,nan,0,2.381101578,0,1.46,3.14734519,0,52,0.25,0,0,0,0,0,0,0,0,0,nan,0,0,1.979356979,nan,9,0.9,10,0,0.219416097,0,0,0,0,3,0,1,nan,0,11,2.604656199,0,0,3.68315398,0.045004944,nan,nan,nan,nan,0,0,nan,nan,0,0,0,0,0,0,0,0,nan,0.387458418,0,10,31.05,4.918,nan,1,2,0,0,0,0,0,0,20.41041027,0,0,2.041041027,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,51.56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1.12,nan,0,0,4,79,0,0,0,0,0,0,0,0,nan,0,0.051989152,0.164266427,14.002,0,0
ALPRAZOLAM,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,nan,0,0,6.463742164,11.86210464,-0.276011248,0.149891202,11.85,34.96885361,0,0,0,0,0,0,0,0,0,nan,0,0,nan,nan,0,0,0,0,0,1,0,0,nan,6.288699403,3.496856913,1.377142306,nan,2.535667986,2.047205384,0,5.459431619,2.964759405,2.093275911,5.627618309,4.007412793,1.259444009,0.819761153,0,0,0,1,0,0,0,0,0,0,nan,nan,3104.344236,3501.843726,3106.199555,2129.489982,1761.180161,6.481481481,nan,15.5232,0,0,0,31.15287111,28.47502447,42.45150315,46.45150315,44.25770478,1.310370697,0,3.228,4,nan,294.9811487,0.117647059,nan,0.096225045,95.002,0,1.5981,2.55392361,0.691548153,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0.444444444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.112369676,nan,0,-0.075225919,0.082628125,0.254180821,nan,0.02236068,-0.032357938,12.74865674,nan,0,nan,nan,0,15.10408353,10.73718344,9.77729252,0,7.621542025,0,4.62631569,3.641519375,0.11222033,1.481192686,17,7.427086127,1.310370697,0,0,15.39011469,0.8,40,926,nan,1.37707013,12.83433294,1.997962464,0,nan,nan,0,8.204062082,0,2.78,19.324292,0,122,10.31041067,0,0,0,0,0,0,0,0,0,nan,0,1,6.434551143,nan,17,0.909090909,19,0,0.389925437,0,0,0,11,2,2,2,nan,0,25,9.31720075,0,0,8.581923719,0.105483684,nan,nan,nan,nan,0,0,nan,nan,0,0,0,0,0,0,0,0,nan,0.487886262,0,22,163.05,5.04,nan,6,0,0,1,0,0,0,0,45.95561616,0,0,2.088891643,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,43.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2.921953095,nan,0,0,2,346,0,0,0,0,1,0,0,0,nan,0,0.120114794,0.35863639,36.5,0,0
AMITRIPTYLINE,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,nan,0,0,5.744386719,11.99394666,-0.308649427,0.12365124,11.85,14.00308416,0,0,0,0,0,0,0,0,0,nan,0,0,nan,nan,0,0,0,0,0,0,0,0,nan,4.350864458,2.56097718,1.336472708,nan,2.355893268,1.885349852,0,5.392317423,3.103552223,2.265414682,6.02404445,4.203521425,1.488267017,0.985923074,0,0,0,0,0,0,0,0,0,0,nan,nan,2621.264165,3122.227053,2693.477615,1946.554465,1664.362274,7.513007284,nan,15.87901701,0,0,0,21.3599803,23.4985458,31.16618193,35.16618193,32.16618193,0,0,4.792,1,nan,254.003074,0.3,nan,0,97.7757,0,2.3628,5.58282384,0.736858262,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0.444444444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.066940815,nan,0,0.006829029,0.014622991,0.100415273,nan,0,-0.006831634,12.97179314,nan,0,nan,nan,0,14.65648977,10.2540202,8.982738022,0,6.252455047,0,3.828924622,2.944232484,0.100592232,4.122596842,12,7.769385702,0,0,0,2.98473945,0.8,35,882,nan,1.149829914,2.98473945,1.625198014,0,nan,nan,0.5,5.841906811,0,3.55,23.93396682,0,108,21.4769147,0,0,0,0,0,0,0,0,0,nan,0,3,5.294526856,nan,12,0.714285714,14,0,0.166666667,0,0,0,9,0,1,5,nan,3,23,6.367855926,0,3,7.262809385,0.055555556,nan,nan,nan,nan,0,0,nan,nan,0,0,0,0,0,0,0,0,nan,0.214076175,0,21,109.01,1.98,nan,4,0,0,1,0,0,0,0,43.27108331,0,0,2.060527777,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.854848305,nan,0,1,0,331,0,0,0,0,0,0,0,0,nan,0,0.067061488,0.247193875,36.3,6,1
AMLODIPINE,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,nan,0,0,4.702374524,13.39977267,-0.373831868,0.292455797,11.85,34.96885391,0,0,0,0,0,0,0,0,0,nan,0,0,nan,nan,2,3,0,0,0,0,0,0,nan,7.471432227,4.09864645,1.770749976,nan,3.647595961,2.684639358,0,5.807354922,3.36332829,2.365139057,6.47094223,4.614539122,1.494384815,0.804031993,0,0,0,1,0,0,0,0,0,0,nan,nan,4232.755279,4105.632996,3497.078411,2450.216712,2067.767825,12,nan,24.27110583,0,0,0,40.30525569,34.10705226,47.60803286,58.11379266,67.88117574,0,0,2.079,7,nan,382.9495738,0.4,nan,0,112.2327,0,0.716,0.512656,0.760224783,0,0,0,0,0,0,0,0,0,0,nan,nan,0,0.454545455,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.498574092,nan,13.62262083,0.162116241,-0.0612765,0.83350186,nan,0,0.041783076,16.96766361,nan,0,nan,nan,0.50471726,20.6814338,13.45512612,11.27798526,0,7.900617339,1.449037065,4.890119715,3.154360555,0.197128369,3.70091541,6,9.32000112,0,0,0,21.70294858,0.833333333,47,1836,nan,1.578891805,5.52321893,6.544678751,0.166666667,nan,nan,0.421716333,16.39533183,0,2.78,17.91731385,0,136,6.271825446,0,0,0,0,0,0,0,0,0,nan,0,10,6.331152443,nan,6,0.428571429,11,0,0.128694254,0,0,0,7,2,6,3,nan,0,29,11.75406415,0,2,9.317600305,0.045819974,nan,nan,nan,nan,0,0,nan,nan,0,0,0,0,0,0,0,0,nan,0.287449212,0.166666667,28,85.08,10.064,nan,2,0,0,6,0,0,0,0,55.62820097,0,0,1.986721463,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,61.83,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,6.016375935,nan,0,0,0,485,0,0,0,0,0,0,0,0,nan,0,0.105397796,0.506917856,43.59,5,0
AMOXICILLIN,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O,nan,1,0,4.781187837,12.10139611,-0.360531225,0.278270264,11.9,31.97207228,0,0,0,0,0,0,0,0,0,nan,0,0,nan,nan,3,0,0,0,0,0,0,0,nan,9.783128861,5.958221148,3.780923399,nan,7.132925899,5.788696402,2,5.64385619,4.772345735,3.377673169,8.42449342,6.078896289,2.050498349,1.069865326,0,0,0,0,0,0,0,0,0,0,nan,nan,2569.47825,3026.945619,3199.577579,2245.839589,1836.894769,7.197278912,nan,19.75308642,0.111111111,0,0.079056942,36.08003912,32.99712189,53.99599565,52.87447815,54.98191066,0,0.166666667,-3.064,8,nan,345.9558661,0.4375,nan,0.400437363,92.373,0,-0.769,0.591361,2.43157599,0,0,0,0,0,0,0,0,0,0,nan,nan,0.353553391,0.461538462,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.321627884,nan,12.47566131,-0.117403034,0.310716238,0.724645774,nan,0.293304165,-0.321999906,14.48728295,nan,2.583357629,nan,nan,0,18.51614338,11.63073484,11.81873676,0,7.895927617,0,4.153699705,2.592967901,0.42900164,0.843274043,6,8.589154505,0.333333333,0.074535599,0.068041382,24.59408878,0.857142857,41,1551,nan,2.939256073,9.064365048,3.851163977,0.333333333,nan,nan,0.5,10.34708726,0.471404521,2.23,8.820477442,0,138,3.301927249,0,0,0,0,0,0,0,0,0,nan,0.204124145,5,6.032355385,nan,6,0.64,7,0,0.858586178,0,0,0,5,3,3,1,nan,3,27,13.63344566,0,2,9.469478676,0.651569551,nan,nan,nan,nan,0,0,nan,nan,0,0,0,0,0,0,0,0,nan,1.585012424,1.486926588,25,129.09,11.03,nan,2,0,0,3,0,0,0,0,49.89527821,1,0,1.995811129,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,79.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,3.575253924,nan,0,1,0,537,0,0,0,0,0,0,0,0,nan,0,1.130621116,0.836549603,38.37,5,1
AMPHOTERICIN B,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,nan,0,0,4.524549676,10.59696978,-0.393643368,0.268198472,11.9,16.01112501,0,0,0,0,0,0,0,0,0,nan,0,0,nan,nan,2,4,0,0,0,0,0,0,nan,16.87191091,10.8128217,4.535242051,nan,6.39798212,5.721477423,0.284858004,7.022367813,7.969375842,4.917785016,17.56762344,12.02211343,3.145815118,1.840259517,0,0,0,0,0,0,0,0,0,0,nan,nan,6753.401091,6660.075383,6132.890973,4671.019267,4149.099946,30.01134216,nan,59.30942303,0,0,0,78.52595391,74.14011345,107.3855512,121.4850262,132.8454518,0,0,2.068,18,nan,849.9166225,0.659574468,nan,0,230.9353,0,-5.1814,26.84690596,2.528727607,0,0,0,0,0,0,0,0,0,0,nan,nan,0.045643546,0.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.604091745,nan,44.79900391,-0.119310252,-0.667484337,1.84311803,nan,0,0.812982819,37.57825243,nan,3.16683455,nan,nan,0.760103306,48.43178169,30.61549551,28.25781552,0,16.79454099,6.101611214,8.455230158,5.162112701,0.393914903,8.534510545,0,22.31784799,0,0,0,47.30381634,0.388888889,103,22044,nan,5.439843168,2.50481243,8.4155139,0,nan,nan,0.637430705,0,3.011758192,4.65,0,0,318,0,0,0,0,0,0,0,0,0,0,nan,0.176776695,3,10.81361994,nan,0,0.707692308,14,0,0.093473444,0,0,0,14,2,5,0,nan,23,67,21.20979672,0,0,21.51906415,0.053966918,nan,nan,nan,nan,0,0,nan,nan,0,0,0,0,0,0,0,0,nan,0.405562904,7.928573282,65,329.18,20.778,nan,0,0,0,2,0,0,0,0,128.426879,1,0,1.975798139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,71.06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,20.70667452,nan,1,0,0,2704,0,0,0,0,0,0,0,0,nan,0,0.153443196,1.249707422,97.454,2,0
